id,genre,score,years
1,Drama,8.4,0
1,Adventure,5.8,0
1,Action,8.7,0
1,Comedy,7.7,1
1,Comedy,7.3,0
1,Horror,6.4,0
1,Action,7.9,0
1,Biography,8.2,1
1,Action,6.8,1
1,Biography,7,0
2,Action,6.1,1
2,Adventure,7.3,1
2,Adventure,5.3,0
2,Drama,7.7,1
2,Crime,7.1,0
2,Drama,7.2,0
2,Drama,6.6,1
2,Comedy,6.9,0
2,Horror,6.8,0
2,Comedy,6.8,0
3,Crime,6.5,1
3,Adventure,6.8,1
3,Action,6.7,1
3,Fantasy,5.3,1
3,Drama,6.4,0
3,Horror,6.9,1
3,Comedy,6.5,0
3,Action,5,0
3,Crime,7.2,1
3,Crime,6.2,1
4,Comedy,7.1,1
4,Horror,5.4,1
4,Action,5.3,1
4,Drama,6.1,1
4,Comedy,6.7,1
4,Comedy,6.2,1
4,Comedy,6.3,1
4,Comedy,6,1
4,Drama,5.9,1
4,Biography,7.5,1
5,Family,6.3,1
5,Drama,7.9,1
5,Action,7.1,1
5,Biography,6.6,1
5,Horror,4.8,0
5,Comedy,6.1,0
5,Action,5.3,1
5,Horror,4.6,0
5,Action,5.1,0
5,Biography,8.3,1
6,Comedy,7.3,1
6,Comedy,6.8,1
6,Biography,4.2,1
6,Action,6.1,0
6,Comedy,7,0
6,Comedy,6.7,0
6,Action,4.6,0
6,Comedy,5.4,1
6,Action,5.1,0
6,Sci-Fi,5.3,0
7,Adventure,5,1
7,Drama,6.7,1
7,Comedy,5.5,1
7,Drama,6.3,1
7,Drama,7.3,1
7,Comedy,6.3,1
7,Comedy,8.1,1
7,Comedy,5.1,1
7,Comedy,6.6,1
7,Comedy,6,1
8,Comedy,4.7,1
8,Animation,7.3,1
8,Comedy,5.5,1
8,Comedy,5.2,1
8,Comedy,5.5,1
8,Adventure,5.8,0
8,Comedy,6.3,0
8,Comedy,5.9,1
8,Drama,7.4,1
8,Adventure,6.9,1
9,Drama,4,1
9,Drama,4.8,1
9,Comedy,5.2,1
9,Animation,7.9,1
9,Comedy,5.2,0
9,Comedy,6.5,1
9,Comedy,5.8,1
9,Comedy,4.3,1
9,Comedy,6.8,1
9,Comedy,6.5,1
10,Comedy,4.3,0
10,Action,6.7,1
10,Action,8.4,0
10,Crime,7.4,0
10,Comedy,7.5,0
10,Action,7.2,0
10,Horror,7.5,0
10,Comedy,6.2,0
10,Crime,7.4,1
10,Action,6.9,0
11,Adventure,7.4,0
11,Action,7.6,1
11,Adventure,8.3,1
11,Comedy,6.9,0
11,Drama,7.4,1
11,Action,6.2,0
11,Action,7.4,1
11,Drama,4.9,1
11,Adventure,7,0
11,Comedy,6.8,1
12,Horror,6.1,1
12,Horror,6.8,1
12,Action,6.7,1
12,Horror,6.5,1
12,Drama,6.8,1
12,Biography,7.3,1
12,Drama,7.6,0
12,Animation,7.3,1
12,Biography,7.2,1
12,Drama,6.9,1
13,Adventure,3.4,1
13,Drama,6.7,1
13,Comedy,6.9,1
13,Biography,7.8,1
13,Comedy,5.8,1
13,Horror,6.6,1
13,Comedy,6.9,0
13,Horror,6.6,1
13,Action,6.7,0
13,Crime,6.9,1
14,Adventure,7.3,1
14,Horror,5.6,0
14,Biography,6.7,0
14,Comedy,5.2,0
14,Crime,6.6,0
14,Drama,7.3,0
14,Horror,5.6,1
14,Crime,6,1
14,Adventure,7.4,1
14,Action,6.6,0
15,Action,7.2,1
15,Comedy,6.4,1
15,Horror,6.8,1
15,Drama,6.3,1
15,Horror,6.3,1
15,Horror,5.9,1
15,Drama,6.5,1
15,Drama,7,1
15,Adventure,7.2,1
15,Crime,6.3,1
16,Drama,6.1,1
16,Action,6.4,1
16,Comedy,6.2,0
16,Action,6.3,1
16,Comedy,5.6,1
16,Comedy,5.9,1
16,Romance,7.1,1
16,Horror,6.3,0
16,Comedy,5.5,1
16,Crime,7.5,1
17,Drama,5.5,1
17,Comedy,6.2,0
17,Music,7.2,1
17,Horror,5.8,1
17,Crime,6.7,1
17,Horror,6,1
17,Action,6.2,1
17,Comedy,5.4,0
17,Comedy,5.6,0
17,Comedy,5.5,1
18,Drama,6,1
18,Drama,6.3,1
18,Horror,4.9,1
18,Comedy,5.1,0
18,Drama,6.5,0
18,Animation,7.2,0
18,Action,5.1,0
18,Adventure,5.2,0
18,Horror,5.6,0
18,Action,5.5,0
19,Drama,6.8,1
19,Drama,5.9,1
19,Comedy,6.5,1
19,Comedy,6.1,1
19,Comedy,7,1
19,Comedy,4.3,1
19,Adventure,5.6,1
19,Comedy,5,1
19,Drama,6.8,1
19,Comedy,7.3,1
20,Drama,2.7,0
20,Comedy,5.5,1
20,Adventure,5.6,0
20,Drama,5.4,1
20,Comedy,6.5,1
20,Action,5.2,1
20,Comedy,4.9,0
20,Action,5.5,0
20,Horror,2.9,0
20,Comedy,5,0
21,Crime,5.8,1
21,Comedy,5.1,1
21,Western,5.1,0
21,Adventure,6.9,0
21,Drama,6.3,0
21,Comedy,7.2,1
21,Action,8.1,0
21,Horror,8.1,0
21,Action,6.9,0
21,Family,7.8,0
22,Action,7.7,1
22,Drama,7,1
22,Comedy,4.4,1
22,Comedy,6.6,1
22,Horror,7.3,0
22,Action,6.9,1
22,Action,7.7,1
22,Adventure,4.9,1
22,Comedy,6.3,0
22,Drama,7.6,1
23,Biography,8,1
23,Comedy,7.4,0
23,Action,6.8,0
23,Animation,7.6,0
23,Comedy,7.8,0
23,Drama,6.8,1
23,Action,6.2,1
23,Comedy,6.9,0
23,Adventure,7.3,1
23,Drama,8,0
24,Fantasy,6.2,1
24,Drama,8.1,1
24,Horror,5.7,1
24,Action,6,1
24,Horror,5,0
24,Adventure,7.2,1
24,Drama,7.7,1
24,Horror,6.1,1
24,Comedy,4.9,1
24,Comedy,5.9,1
25,Comedy,7.2,1
25,Comedy,7.1,0
25,Comedy,6,0
25,Drama,7.1,1
25,Comedy,6.6,1
25,Comedy,5.7,1
25,Comedy,7.6,1
25,Animation,7.4,0
25,Drama,6.7,0
25,Comedy,6.2,1
26,Comedy,5.8,1
26,Horror,6,1
26,Crime,7.1,1
26,Action,5.6,1
26,Action,6,1
