score,gross,genre,votes
8.4,46998772,Drama,927000
5.8,58853106,Adventure,65000
8.7,538375067,Action,1200000
7.7,83453539,Comedy,221000
7.3,39846344,Comedy,108000
6.4,39754601,Horror,123000
7.9,115229890,Action,188000
8.2,23402427,Biography,330000
6.8,108185706,Action,101000
7,15795189,Biography,10000
6.1,70687344,Action,18000
7.3,30031783,Adventure,54000
5.3,49823037,Adventure,30000
7.7,54766923,Drama,49000
7.1,31899000,Crime,37000
7.2,9709597,Drama,27000
6.6,21202829,Drama,21000
6.9,103300686,Comedy,29000
6.8,21448782,Horror,66000
6.8,101300000,Comedy,26000
6.5,19814523,Crime,20000
6.8,3484523,Adventure,14000
6.7,16647800,Action,22000
5.3,22762571,Fantasy,12000
6.4,46918287,Drama,14000
6.9,19853892,Horror,33000
6.5,34326249,Comedy,5100
5,,Action,4100
7.2,37121708,Crime,17000
6.2,22743674,Crime,22000
7.1,22482952,Comedy,8900
5.4,14796236,Horror,16000
5.3,66132626,Action,15000
6.1,534816,Drama,604
6.7,43995918,Comedy,9100
6.2,69847348,Comedy,24000
6.3,10000000,Comedy,4300
6,6342668,Comedy,11000
5.9,27118000,Drama,4000
7.5,67182787,Biography,17000
6.3,5000000,Family,5700
7.9,,Drama,13000
7.1,7063886,Action,9000
6.6,6659377,Biography,11000
4.8,8415112,Horror,2000
6.1,41675194,Comedy,12000
5.3,15716828,Action,3900
4.6,,Horror,3900
5.1,14662035,Action,3100
8.3,,Biography,15000
7.3,10389003,Comedy,22000
6.8,4309490,Comedy,4500
4.2,,Biography,3700
6.1,24265659,Action,11000
7,12516,Comedy,6700
6.7,,Comedy,2900
4.6,3763988,Action,2600
5.4,6216067,Comedy,2400
5.1,18971000,Action,5200
5.3,,Sci-Fi,2400
5,18000000,Adventure,5300
6.7,14287755,Drama,1900
5.5,,Comedy,875
6.3,17815212,Drama,1400
7.3,3910019,Drama,2800
6.3,7653061,Comedy,2000
8.1,,Comedy,12000
5.1,10697276,Comedy,2000
6.6,9870727,Comedy,915
