symbol,date,price
Budget,1980,4500000
Budget,1981,18000000
Budget,1982,3500000
Budget,1983,6000000
Budget,1984,550000
Budget,1985,27000000
Budget,1986,18000000
Budget,1987,54000000
Budget,1988,10000000
Budget,1989,15000000
Budget,1990,5000000
Budget,1991,20000000
Budget,1992,6000000
Budget,1993,6500000
Budget,1994,5100000
Budget,1995,
Budget,1996,10000000
Budget,1997,1000000
Budget,1998,
Budget,1999,28000000
Budget,2000,2500000
Budget,2001,14000000
Budget,2002,32000000
Budget,2003,
Budget,2004,12000000
Budget,2005,5500000
Budget,2006,12000000
Budget,2007,6500000
Budget,2008,10000000
Budget,2009,7000000
Budget,2010,
Budget,2011,
Budget,2012,3000000
Budget,2013,11000000
Budget,2014,1000000
Budget,2015,18000000
Budget,2016,3000000
Budget,2017,12500000
Budget,2018,5000000
Budget,2019,5000000
Budget,2020,2800000
Budget,1980,12000000
Budget,1981,
Budget,1982,2500000
Budget,1983,8500000
Budget,1984,
Budget,1985,16000000
Budget,1986,
Budget,1987,12000000
Budget,1988,400000
Budget,1989,
Budget,1990,
Budget,1991,
Budget,1992,26000000
Budget,1993,
Budget,1994,
Budget,1995,10000000
Budget,1996,8000000
Budget,1997,5000000
Budget,1998,
Budget,1999,
Budget,2000,8500000
Budget,2001,
Budget,2002,
Budget,2003,17000000
Budget,2004,
Budget,2005,8600000
Budget,2006,
Budget,2007,
Budget,2008,
Budget,2009,
Budget,2010,
Budget,2011,800000
Budget,2012,
Budget,2013,20000000
Budget,2014,6000000
Budget,2015,
Budget,2016,
Budget,2017,
Budget,2018,250000
Budget,2019,8000000
Budget,2020,22000000
Budget,1980,1500000
Budget,1981,18000000
Budget,1982,14000000
Budget,1983,
Budget,1984,3800000
Budget,1985,2700000
Budget,1986,
Budget,1987,10000000
Budget,1988,11000000
Budget,1989,
Budget,1990,12000000
Budget,1991,
Budget,1992,3500000
Budget,1993,
Budget,1994,13000000
Budget,1995,46000000
Budget,1996,14000000
Budget,1997,12000000
Budget,1998,16000000
Budget,1999,
Budget,2000,24000000
Budget,2001,
Budget,2002,2000000
Budget,2003,
Budget,2004,
Budget,2005,
Budget,2006,
Budget,2007,
Budget,2008,
Budget,2009,
Budget,2010,4500000
Budget,2011,28000000
Budget,2012,15000000
Budget,2013,20000000
Budget,2014,10500000
Budget,2015,15000000
Budget,2016,7500000
Budget,2017,13200000
Budget,2018,50000000
Budget,2019,10700000
Budget,2020,12000000
Budget,1980,11200000
Budget,1981,
Budget,1982,
Budget,1983,12000000
Budget,1984,22000000
Budget,1985,21000000
Budget,1986,17000000
Budget,1987,7000000
Budget,1988,20000000
Budget,1989,17000000
Budget,1990,8000000
Budget,1991,8000000
Budget,1992,3500000
Budget,1993,12000000
Budget,1994,18000000
Budget,1995,6000000
Budget,1996,2300000
Budget,1997,18000000
Budget,1998,2500000
Budget,1999,15000000
Budget,2000,16000000
Budget,2001,300000
Budget,2002,
Budget,2003,
Budget,2004,17000000
Budget,2005,5000000
Budget,2006,35000000
Budget,2007,13000000
Budget,2008,
Budget,2009,
Budget,2010,
Budget,2011,3500000
Budget,2012,9000000
Budget,2013,15000000
Budget,2014,17000000
Budget,2015,425000
Budget,2016,10000000
Budget,2017,
Budget,2018,
Budget,2019,6500000
Budget,2020,9000000
Budget,1980,
Budget,1981,
Budget,1982,
Budget,1983,457000
Budget,1984,6500000
Budget,1985,19000000
Budget,1986,
Budget,1987,12000000
Budget,1988,15000000
Budget,1989,5000000
Budget,1990,
Budget,1991,
Budget,1992,7000000
Budget,1993,800000
Budget,1994,15000000
Budget,1995,
Budget,1996,3000000
Budget,1997,4520000
Budget,1998,14500000
Budget,1999,
Budget,2000,250000
Budget,2001,
Budget,2002,25000000
Budget,2003,14000000
Budget,2004,1250000
Budget,2005,14400000
Budget,2006,19000000
Budget,2007,
Budget,2008,
Budget,2009,8000000
Budget,2010,2500000
Budget,2011,
Budget,2012,
Budget,2013,9500000
Budget,2014,6000000
Budget,2015,
Budget,2016,6500000
Budget,2017,700000
Budget,2018,
Budget,2019,
Budget,2020,
Budget,1980,9000000
Budget,1981,
Budget,1982,8000000
Budget,1983,
Budget,1984,
Budget,1985,4000000
Budget,1986,11000000
Budget,1987,8000000
Budget,1988,11800000
Budget,1989,12000000
Budget,1990,5000000
Budget,1991,
Budget,1992,
Budget,1993,
Budget,1994,
Budget,1995,19000000
Budget,1996,6000000
Budget,1997,10000000
Budget,1998,5000000
Budget,1999,
Budget,2000,
Budget,2001,3000000
Budget,2002,
Budget,2003,
Budget,2004,
Budget,2005,
Budget,2006,550000
Budget,2007,5500000
Budget,2008,12000000
Budget,2009,
Budget,2010,
Budget,2011,
Budget,2012,220000
Budget,2013,300000
Budget,2014,
Budget,2015,10100000
Budget,2016,8000000
Budget,2017,
Budget,2018,5000000
Budget,2019,
Budget,2020,
Budget,1980,
Budget,1981,
Budget,1982,
Budget,1983,
Budget,1984,
Budget,1985,
Budget,1986,100000
Budget,1987,
Budget,1988,3000000
Budget,1989,50000
Budget,1990,
Budget,1991,
Budget,1992,2500000
Budget,1993,3000
Budget,1994,
Budget,1995,
Budget,1996,323562
Budget,1997,6400000
Budget,1998,40000000
Budget,1999,30000000
Budget,2000,8000000
Budget,2001,30000000
Budget,2002,4500000
Budget,2003,28000000
Budget,2004,10000000
Budget,2005,1800000
Budget,2006,18000000
Budget,2007,14000000
Budget,2008,17000000
Budget,2009,27000000
Budget,2010,8200000
Budget,2011,8000000
Budget,2012,11000000
Budget,2013,10000000
Budget,2014,14500000
Budget,2015,6500000
Budget,2016,
Budget,2017,2500000
Budget,2018,
Budget,2019,9000000
Budget,2020,18000000
Budget,1980,800000
Budget,1981,15000000
Budget,1982,8000000
Budget,1983,1500000
Budget,1984,28000000
Budget,1985,5000000
Budget,1986,1000000
Budget,1987,2600000
Budget,1988,
Budget,1989,13000000
Budget,1990,35000000
Budget,1991,25000000
Budget,1992,15000000
Budget,1993,1250000
Budget,1994,9000000
Budget,1995,
Budget,1996,
Budget,1997,17000000
Budget,1998,1500000
Budget,1999,28000000
Budget,2000,14400000
Budget,2001,58000000
Budget,2002,22000000
Budget,2003,700000
Budget,2004,
Budget,2005,
Budget,2006,
Budget,2007,21000000
Budget,2008,
Budget,2009,7000000
Budget,2010,20000000
Budget,2011,90000
Budget,2012,9000000
Budget,2013,16000000
Budget,2014,7200000
Budget,2015,7500000
Budget,2016,
Budget,2017,25000000
Budget,2018,2550000
Budget,2019,30000000
Budget,2020,
Budget,1980,
Budget,1981,12000000
Budget,1982,
Budget,1983,
Budget,1984,12000000
Budget,1985,2000000
Budget,1986,5500000
Budget,1987,
Budget,1988,
Budget,1989,6500000
Budget,1990,1065000
Budget,1991,8000000
